GGPASS_ID,CLUSTER,AVG_WEEKLY_THEO_WIN,AVG_WEEKLY_DAYS_PLAYED,AVG_WEEKLY_ADT,BRAND_ID,SITE_ID,NICKNAME,CID,TOP_CATEGORY,OVERALL_THEO_WIN,OVERALL_ADT,OVERALL_DAYS_PLAYED
57881797,1,10.17,1.00,10.17,MBP,GGPUKE,Player 1,28426477-P-25506646,CASINO,10.17,10.17,1.00
38786017,1,14.07,1.00,14.07,MBP,GGPUKE,Player 2,22388153-S-44042001,CASINO,14.07,14.07,1.00
42567737,1,13.84,1.00,13.84,MBP,GGPUKE,Player 3,84758732-O-28465776,SLOT,27.68,13.84,2.00
35624095,1,13.74,1.00,13.74,GGPCOM,GGPCOM,Player 4,50399937-R-38027074,CASINO,13.74,13.74,1.00
16109206,2,32.59,1.50,19.71,MBP,EVPUKE,Player 5,53129294-X-78633789,CASINO,65.17,21.72,3.00
89148115,3,434.83,3.33,146.45,MBP,GGPUKE,Player 6,57523232-J-31566643,SLOT,"2,608.96",130.45,20.00
51630235,1,14.41,1.00,14.41,MBP,GGPUKE,Player 7,54316265-U-45238388,CASINO,43.24,14.41,3.00
60755447,3,238.67,2.75,97.04,MBP,GGPUKE,Player 8,56835254-D-24830815,CASINO,954.68,86.79,11.00
65614943,2,240.51,1.33,198.78,MBP,GGPUKE,Player 9,81237066-B-49900231,SLOT,721.54,180.39,4.00
61289423,2,90.63,1.50,72.25,GGPCOM,GGPUA,Player 10,11265048-H-92116198,SLOT,181.27,60.42,3.00
81333865,1,11.21,1.00,11.21,MBP,GGPUKE,Player 11,63972103-T-66745614,SLOT,11.21,11.21,1.00
44705106,1,106.45,1.00,106.45,POKEROK,GGPOK,Player 12,96318814-B-32719392,CASINO,106.45,106.45,1.00
98567757,1,58.30,1.00,58.30,POKEROK,GGPOK,Player 13,81347808-A-76180195,LIVE_DEALER,58.30,58.30,1.00
99154399,1,23.37,1.00,23.37,MBP,GGPUKE,Player 14,43086485-F-34640404,SLOT,23.37,23.37,1.00
38022295,3,57.65,2.60,19.85,MBP,GGPUKE,Player 15,40300015-E-22776713,CASINO,288.25,22.17,13.00
99040466,2,84.41,2.40,28.04,MBP,GGPUKE,Player 16,86668827-M-20147634,CASINO,422.06,35.17,12.00
96254103,3,16.41,3.00,5.47,MBP,GGPUKE,Player 17,61236620-E-88640471,SLOT,16.41,5.47,3.00
24409466,2,134.16,1.50,122.39,MBP,GGPUKE,Player 18,63132502-Y-61563261,CASINO,536.66,89.44,6.00
26575286,3,314.98,2.50,80.00,MBP,GGPUKE,Player 19,93170344-P-28403534,CASINO,629.96,125.99,5.00
32761880,4,717.52,6.50,109.93,POKEROK,GGPOK,Player 20,49939906-L-41570841,SLOT,"4,305.14",110.39,39.00
