GGPASS_ID,CLUSTER,AVG_WEEKLY_THEO_WIN,AVG_WEEKLY_DAYS_PLAYED,AVG_WEEKLY_ADT,BRAND_ID,SITE_ID,NICKNAME,CID,TOP_CATEGORY,OVERALL_THEO_WIN,OVERALL_ADT,OVERALL_DAYS_PLAYED
00353A73-AE7A-4886-96BE-33286F9E5038,1,10.1735544438,1.0,10.1735544438,MBP,GGPUKE,Duan juncen,00353A73AE7A488696BE33286F9E5038,CASINO,10.1735544438,10.1735544438,1
0041E395-4865-448A-BBE7-F6F04FE9C263,1,14.06935899275,1.0,14.06935899275,MBP,GGPUKE,Lucky AA KK,0041E3954865448ABBE7F6F04FE9C263,CASINO,14.06935899275,14.06935899275,1
0049E3E5-33E4-471C-B75F-C8E4467EA00A,1,13.8420104063155,1.0,13.8420104063155,MBP,GGPUKE,zhangshuyu2016,0049E3E533E4471CB75FC8E4467EA00A,SLOT,27.684020812631,13.8420104063155,2
008F0609-A074-4921-8D1A-E290A8E589D8,1,13.74,1.0,13.74,GGPCOM,GGPCOM,Optel,008F0609A07449218D1AE290A8E589D8,CASINO,13.74,13.74,1
0114FB04-3A46-4072-A5F5-DF48A593C990,2,32.58647024745,1.5,19.712742585450002,MBP,EVPUKE,Aniuuu,0114FB043A464072A5F5DF48A593C990,CASINO,65.1729404949,21.724313498300003,3
01210855-8AEC-4DC0-8757-B4BEAF3A5A7B,3,434.8269101417,3.3333333333333335,146.44948208036666,MBP,GGPUKE,JNYDF,012108558AEC4DC08757B4BEAF3A5A7B,SLOT,2608.9614608502,130.44807304251,20
01A3F400-322C-4135-8A42-516E9B02A0AA,1,14.413297695716667,1.0,14.413297695716667,MBP,GGPUKE,laiyu111,01A3F400322C41358A42516E9B02A0AA,CASINO,43.23989308715,14.413297695716667,3
0204234B-0289-41A3-9027-948DEC4236F6,3,238.6706598348,2.75,97.0356771756875,MBP,GGPUKE,cxs6666,0204234B028941A39027948DEC4236F6,CASINO,954.6826393392,86.78933084901819,11
0222F4FB-D03C-4958-8908-42CBF4A562FF,2,240.51337398865834,1.3333333333333333,198.78230384398748,MBP,GGPUKE,dabaojjx,0222F4FBD03C4958890842CBF4A562FF,SLOT,721.540121965975,180.38503049149375,4
024272B2-E8D7-439F-9A83-FFEE802313A2,2,90.6326,1.5,72.249425,GGPCOM,GGPUA,3ajiet41k,024272B2E8D7439F9A83FFEE802313A2,SLOT,181.2652,60.42173333333333,3
0246B5A4-F8B2-4DB5-80D8-122561E4FCF8,1,11.2052694264,1.0,11.2052694264,MBP,GGPUKE,SunnyMeng,0246B5A4F8B24DB580D8122561E4FCF8,SLOT,11.2052694264,11.2052694264,1
024C4C55-1966-410E-8032-EBBEFA04CC11,1,106.449,1.0,106.449,POKEROK,GGPOK,TTELMEN,024C4C551966410E8032EBBEFA04CC11,CASINO,106.449,106.449,1
024F5881-B031-421B-AB94-90D72748088B,1,58.299,1.0,58.299,POKEROK,GGPOK,Nadar Kakhmazov,024F5881B031421BAB9490D72748088B,LIVE_DEALER,58.299,58.299,1
027FEB89-A1DD-48DB-A85E-446E0D8B9264,1,23.3721515676,1.0,23.3721515676,MBP,GGPUKE,LLbingo,027FEB89A1DD48DBA85E446E0D8B9264,SLOT,23.3721515676,23.3721515676,1
02A7E067-8FE7-4F1C-BE12-8D72D01CB6AA,3,57.6500439597,2.6,19.845087779315,MBP,GGPUKE,YARA_AK,02A7E0678FE74F1CBE128D72D01CB6AA,CASINO,288.2502197985,22.173093830653844,13
02EF1B23-2145-4CBA-8705-2857F312DBD5,2,84.4115323211,2.4,28.044825561754998,MBP,GGPUKE,zyq9job,02EF1B2321454CBA87052857F312DBD5,CASINO,422.05766160549996,35.17147180045833,12
02FD6A66-C23A-4AD7-98E3-A1A4220DF856,3,16.408496895,3.0,5.469498965,MBP,GGPUKE,YKXMM,02FD6A66C23A4AD798E3A1A4220DF856,SLOT,16.408496895,5.469498965,3
0344FFDE-22A2-4902-ADF5-1CB626CD1AF4,2,134.1639882486,1.5,122.38749420325,MBP,GGPUKE,houguoyu,0344FFDE22A24902ADF51CB626CD1AF4,CASINO,536.6559529944,89.4426588324,6
036FA63A-348F-4EDA-91E4-980581BD9B3E,3,314.98190673675,2.5,80.0006949004875,MBP,GGPUKE,liuxying,036FA63A348F4EDA91E4980581BD9B3E,CASINO,629.9638134735,125.99276269469999,5
03936FE8-7FC2-48CA-8E82-FBE860FD8678,4,717.5240691666667,6.5,109.92860259920634,POKEROK,GGPOK,Undertaker13,03936FE87FC248CA8E82FBE860FD8678,SLOT,4305.144415,110.38831833333333,39
03ACE528-BEFC-4120-97D6-13CE92E13277,2,23.559268,1.6,15.826891499999999,POKEROK,GGPOK,BlackD159,03ACE528BEFC412097D613CE92E13277,CASINO,117.79634,14.7245425,8
03E175D5-E8F2-42B6-9AF6-AE8EEF57A73A,1,24.36642561075,1.5,12.95305805865,MBP,GGPUKE,ChuBaWangBJ,03E175D5E8F242B69AF6AE8EEF57A73A,CASINO,48.7328512215,16.2442837405,3
04125153-B8A7-4616-9D65-421FB5FAFEF4,2,57.6641120052,2.0,28.8320560026,MBP,GGPUKE,check1613,04125153B8A746169D65421FB5FAFEF4,CASINO,57.6641120052,28.8320560026,2
043FB4A7-9379-44DB-9DDC-0F9461A6D75F,2,62.0544696088,1.3333333333333333,43.1729450532,MBP,GGPUKE,wosndd,043FB4A7937944DB9DDC0F9461A6D75F,SLOT,186.1634088264,46.5408522066,4
04638549-895F-44EF-B640-A4CCED7DB4B3,3,63.3248798823,3.6666666666666665,11.860009010083333,MBP,GGPUKE,Tjiang,04638549895F44EFB640A4CCED7DB4B3,CASINO,189.97463964690002,17.27042178608182,11
04980D63-CC85-4C47-AF20-442A145BDB49,3,16.3664341528,2.6666666666666665,6.750244621725,MBP,GGPUKE,winwins88888,04980D63CC854C47AF20442A145BDB49,SLOT,49.0993024584,6.1374128073,8
049ABE6C-18FA-4661-B71B-0368D44BF878,2,11.02945625505,2.5,4.9872749659875,MBP,GGPUKE,wfd520,049ABE6C18FA4661B71B0368D44BF878,CASINO,66.1767375303,4.41178250202,15
056F09EE-41AA-45DE-99D9-30842BA87ED8,3,22.74029733884,2.8,4.083487283955714,MBP,GGPUKE,Tibetan shark,056F09EE41AA45DE99D930842BA87ED8,CASINO,113.7014866942,8.121534763871429,14
05B10D60-0D4B-4928-A716-9A4E10CA80E3,4,503.98263333333335,5.833333333333333,90.48488214285715,NATURAL8,Natural8,LENG77,05B10D600D4B4928A7169A4E10CA80E3,CASINO,3023.8958000000002,86.39702285714286,35
05FA7C60-FE51-476C-A505-6E43D1E79E45,2,33.3255,1.5,18.66525,NATURAL8,Natural8,omgno,05FA7C60FE51476CA5056E43D1E79E45,SLOT,66.651,22.217,3
065253F7-DDDB-40B6-B10F-BC17613FA330,3,15.8916,3.0,5.2972,NATURAL8,Natural8,chien671951,065253F7DDDB40B6B10FBC17613FA330,LIVE_DEALER,15.8916,5.2972,3
0664F056-CCC4-4AA9-8B97-B278CE33C2CA,3,25.064475,3.0,8.0075425,GGPCOM,GGPCOM,Bumkin,0664F056CCC44AA98B97B278CE33C2CA,CASINO,150.38685,8.354825,18
06BC5A2E-60D4-4ED0-9A20-56CE0185E837,2,31.538528507700004,2.1666666666666665,17.065468326341666,MBP,GGPUKE,buqibuli521,06BC5A2E60D44ED09A2056CE0185E837,CASINO,189.23117104620002,14.55624392663077,13
070D4404-F761-4C0D-B09F-6616402BF02F,2,25.502346234375,1.75,14.8533613332,MBP,GGPUKE,fate2cards,070D4404F7614C0DB09F6616402BF02F,CASINO,102.0093849375,14.572769276785715,7
072814C0-4F62-461E-8887-DF0B23D00144,1,19.937419262349998,1.5,11.24931291350625,MBP,GGPUKE,WING12345,072814C04F62461E8887DF0B23D00144,CASINO,79.74967704939999,13.291612841566666,6
079A3755-BE95-473F-8EC0-34290D44AA4D,2,33.24732282585,1.5,17.2760632905,MBP,GGPUKE,Ljkkkkkkkkk,079A3755BE95473F8EC034290D44AA4D,LIVE_DEALER,66.4946456517,22.164881883899998,3
07F0B138-E8A3-4DCF-81F2-714A4E0E42C7,3,843.4978049665333,3.0,226.10914411923332,MBP,GGPUKE,asjnw,07F0B138E8A34DCF81F2714A4E0E42C7,CASINO,2530.4934148996,281.1659349888444,9
07FFA1CD-C455-4450-B34F-2E94DA497680,4,53.96935,5.0,10.79387,GGPCOM,GGPCOM,Yayosia,07FFA1CDC4554450B34F2E94DA497680,CASINO,53.96935,10.79387,5
0820FA19-CA08-438E-AE11-01744BA94318,1,83.6352,1.0,83.6352,POKEROK,GGPOK,sp!ke,0820FA19CA08438EAE1101744BA94318,CASINO,83.6352,83.6352,1
083B5EF7-43B9-4D0B-BFF4-2455B006EAF2,1,10.4841247988,1.6666666666666667,5.2436324822,MBP,GGPUKE,q5232926,083B5EF743B94D0BBFF42455B006EAF2,LIVE_DEALER,31.4523743964,6.29047487928,5
0862A4BC-2AA3-49D8-9652-84AE142143B7,2,63.06647,2.0,30.463686666666668,POKEROK,GGPOK,Ekaterina35rus,0862A4BC2AA349D8965284AE142143B7,CASINO,315.33235,31.533235,10
08F5CF70-D12C-4065-A5F8-B87A7B6404EF,4,474.3220078809857,3.7142857142857144,97.05598343310051,MBP,GGPUKE,ZHAPIAN666,08F5CF70D12C4065A5F8B87A7B6404EF,CASINO,3320.2540551669,127.70207904488076,26
0949CEF3-1766-4F00-8BA4-0B1831F04202,1,31.7635540674,1.0,31.7635540674,MBP,GGPUKE,ginolagao,0949CEF317664F008BA40B1831F04202,SLOT,31.7635540674,31.7635540674,1
0B283922-1D29-485F-AE0A-4062CD777D85,1,13.209,1.0,13.209,GGPCOM,GGPPL,Gloksu,0B2839221D29485FAE0A4062CD777D85,CASINO,13.209,13.209,1
0B74F04A-BCF3-4AF3-AB51-F6D55DCDF664,2,430.4200809627,2.0,143.5129359011,MBP,GGPUKE,ShunfShuns,0B74F04ABCF34AF3AB51F6D55DCDF664,CASINO,860.8401619254,215.21004048135,4
0B7F71E3-BE53-407F-BB42-E0205E678490,1,154.0792877049,1.0,154.0792877049,MBP,GGPUKE,UmiLL,0B7F71E3BE53407FBB42E0205E678490,SLOT,154.0792877049,154.0792877049,1
0BA6D7F1-07C9-418A-85BD-45492D434B8D,3,13.6256805015,3.0,4.5418935005,MBP,GGPUKE,AKAnnnnnn,0BA6D7F107C9418A85BD45492D434B8D,CASINO,27.251361003,4.5418935005,6
0C4E8710-5D9F-451A-B68D-F208F9839331,4,374.2871333857,3.6666666666666665,122.38373221374583,MBP,GGPUKE,LS9999,0C4E87105D9F451AB68DF208F9839331,SLOT,2245.7228003142,102.07830910519091,22
0C6B5772-2AB6-4E59-A599-AA66877537BD,1,26.5530801708,1.0,26.5530801708,MBP,GGPUKE,Zhao feng,0C6B57722AB64E59A599AA66877537BD,CASINO,26.5530801708,26.5530801708,1
0D0B0A4D-D80A-4FA3-AC99-02984F638B54,2,160.7216256732,2.0,80.3608128366,MBP,GGPUKE,YangDaa,0D0B0A4DD80A4FA3AC9902984F638B54,SLOT,160.7216256732,80.3608128366,2
0D7A287C-101B-4BE6-8290-79BE70208A27,4,780.42875694205,6.0,122.75344248377291,MBP,GGPUKE,Bingli,0D7A287C101B4BE6829079BE70208A27,CASINO,4682.5725416523,130.07145949034168,36
0E7AC335-1B8D-4EFE-B2F8-5C7CB85BE724,1,49.9942193214,1.0,49.9942193214,MBP,GGPUKE,Aping333333,0E7AC3351B8D4EFEB2F85C7CB85BE724,SLOT,99.9884386428,49.9942193214,2
