GAME_WEEK,GGPASS_ID,CID,NICKNAME,BRAND_ID,SITE_ID,TOP_CATEGORY,BET,GGR,THEO_WIN,DAYS_PLAYED
2025-12-22,94144420,35957579-B-25044000,Player 1,MBP,GGPUKE,CASINO,577.2663698,135.6710624,17.31799109,1
2025-12-15,79751763,47176198-G-24495296,Player 2,MBP,GGPUKE,CASINO,5045.045429,355.0823396,151.3513629,1
2025-12-15,88330930,95771992-M-86719806,Player 3,MBP,GGPUKE,CASINO,399.5571659,36.43033725,11.98671498,1
2025-12-08,79097307,92441070-G-48355063,Player 4,POKEROK,GGPOK,SLOT,3.2,0.85,0.1072,1
2025-12-22,54446666,77954856-Z-72907017,Player 5,NATURAL8,Natural8,SLOT,60,15.2,2.292,1
2025-12-15,90638415,47271669-G-83847382,Player 6,GGPCOM,GGPCOM,CASINO,3.81,1,0.123825,1
2025-12-29,46890858,10624362-M-48370398,Player 7,MBP,GGPUKE,LIVE_DEALER,0.28534334,0.28534334,0.0085603002,1
2025-12-15,33455747,73987662-U-37475215,Player 8,MBP,GGPUKE,CASINO,2.98252665,0.56810032,0.0894757995,1
2025-12-22,83149485,36607884-H-27101948,Player 9,GGPCOM,GGPCOM,SLOT,28.5,4.5,0.9975,1
2025-12-29,73295297,58619204-A-41094292,Player 10,MBP,GGPUKE,SLOT,2.14100365,0.49956752,0.07172362228,1
2025-12-29,85810148,91439293-F-81227839,Player 11,MBP,GGPUKE,CASINO,333.9241515,28.56494024,10.01772455,1
2025-12-22,87660506,64672104-O-78943935,Player 12,GGPCOM,GGPCOM,CASINO,1.22,1,0.0427,1
2025-12-15,75222487,78113429-A-26098237,Player 13,GGPCOM,GGPPL,SLOT,0.06,0.06,0.0018,1
2025-12-22,63428740,86719787-D-42152246,Player 14,GGPCOM,GGPCOM,CASINO,33.98,1,1.0194,1
2025-12-01,29252680,21290812-N-55898693,Player 15,POKEROK,GGPOK,SLOT,2.05,1,0.0615,1
2025-12-15,67473767,93305282-V-72820755,Player 16,GGPCOM,GGPCOM,SLOT,622.98,-109.89,19.8304,1
2025-12-01,98744271,86224914-Z-97718406,Player 17,NATURAL8,Natural8,SLOT,3.96,2,0.1188,1
2025-12-08,66721540,10660043-F-53444894,Player 18,MBP,GGPUKE,SLOT,106.0518862,16.77033828,3.552738189,1
2025-12-29,82388852,72972928-Y-64654617,Player 19,GGPCOM,GGPCOM,SLOT,1.56,1,0.0468,1
2025-12-08,42749586,35554448-R-21497337,Player 20,GGPCOM,GGPCOM,LIVE_DEALER,6.88,1,0.2408,1
